Folder,RelaxArea,c0Insertion,Col1,Col2,Col3,Col4,Col5,Ngags,Height
_c0lown_16,78000.0,-0.04,68.1207, 0.000534846, 0, 68.1271, 0.000481005,161,33.098777
_c0lown_18,82000.0,-0.04,302.085, 21588.6, 0, 22116.8, 0.126067,161,33.477034
_c0new_01,68000.0,-0.2,6955.15, 74623.2, 670.036, 82482.1, 0.223612,161,31.344847
_c0new_02,70000.0,-0.2,6961.37, 39865.7, 378.356, 47234.2, 0.559419,161,31.686754
_c0new_03,72000.0,-0.2,6912.91, 19884.6, 0, 27065.8, 0.204918,161,31.813556
_c0new_04,74000.0,-0.2,6797.45, 3484.01, 0, 10284.3, 0.0647162,161,32.068357
_c0new_05,76000.0,-0.2,5984.68, 4.30467, 0, 5989.43, 0.011036,161,32.163495
_c0new_06,78000.0,-0.2,6009.87, 2.87213, 0, 6013.39, 0.00722432,161,33.113044
_c0new_07,80000.0,-0.2,6924.64, 4939.36, 2.08638e-23, 11872.3, 0.0597555,161,33.463878
_c0new_08,82000.0,-0.2,7041.58, 21448.4, 0, 29086.3, 0.304578,161,33.452797
_c0new_11,68000.0,0.0,270.209, 75666.1, 1924.09, 77907.4, 0.724857,161,31.337014
_c0new_12,70000.0,0.0,285.107, 45240.5, 433.923, 46148.4, 0.261133,161,31.761094
_c0new_13,72000.0,0.0,290.883, 19939.8, 0, 20313.8, 0.201089,161,31.837224
_c0new_14,74000.0,0.0,303.821, 3505.11, 0, 3812.09, 0.116894,161,32.059770
_c0new_15,76000.0,0.0,207.669, 0.00287757, 0, 207.677, 0.000371935,161,31.791224
_c0new_16,78000.0,0.0,288.499, 0.0126971, 0, 288.53, 0.00199105,161,32.986705
_c0new_17,80000.0,0.0,463.892, 4992.51, 0, 5458.55, 0.0747234,161,33.441197
_c0new_18,82000.0,0.0,527.116, 22002.6, 8.11115e-23, 22729.8, 0.14415,161,33.487468
_c0new_21,68000.0,0.2,12050.1, 87164.1, 1117.91, 100942, 0.863597,161,31.443098
_c0new_22,70000.0,0.2,12035.6, 38922.6, 483.137, 51449.9, 0.127534,161,31.490563
_c0new_23,72000.0,0.2,12054.4, 19576.5, 0, 31770.9, 0.143665,161,31.628556
_c0new_24,74000.0,0.2,11899.8, 3067.67, 0, 14969.1, 0.058046,161,31.687128
_c0new_25,76000.0,0.2,10610.8, 6.18298, 0, 10618.1, 0.0141258,161,31.263237
_c0new_26,78000.0,0.2,10941.4, 7.5008, 0, 10949.7, 0.0329021,161,32.227436
_c0new_27,80000.0,0.2,12687.2, 5437.25, 0, 18138, 0.086314,161,33.198222
_c0new_28,82000.0,0.2,12945.9, 21869.1, 0, 35576.7, 0.154644,161,33.352829
_c0new_31,68000.0,0.5,61180.2, 83207.1, 865.917, 145332, 0.230406,161,30.930560
_c0new_32,70000.0,0.5,59591.5, 39991.7, 456.513, 100144, 0.356766,161,30.735650
_c0new_33,72000.0,0.5,57831.1, 17459, 0, 75683.1, 0.0721517,161,30.461761
_c0new_34,74000.0,0.5,55895.4, 4799.87, 0, 60974.7, 0.163108,161,30.351290
_c0new_35,76000.0,0.5,57671.1, 315.316, 0, 58100.5, 0.0592337,161,31.214793
_c0new_36,78000.0,0.5,57498.5, 861.546, 0, 58612.6, 0.237475,161,31.631810
_c0new_37,80000.0,0.5,57407, 5560.22, 315.965, 63486.8, 0.146296,161,32.270674
_c0new_38,82000.0,0.5,62951.9, 22383.9, 308.369, 89218.6, 0.623477,161,33.031080
_c0new_41,68000.0,1.0,197780, 95836.6, 978.748, 296021, 0.666771,161,29.729077
_c0new_42,70000.0,1.0,197172, 55139.9, 235.599, 254728, 0.596203,161,29.855181
_c0new_43,72000.0,1.0,199204, 26581.4, 588.321, 228579, 0.479656,161,30.173978
_c0new_44,74000.0,1.0,199557, 8326.7, 0, 211201, 0.117993,161,30.403798
_c0new_45,76000.0,1.0,202763, 549.766, 696.669, 208207, 0.283515,161,30.674830
_c0new_46,78000.0,1.0,200662, 1930, 1531.55, 206063, 0.298047,161,31.022458
_c0new_47,80000.0,1.0,202752, 11840, 809.429, 217072, 0.599051,161,31.128776
_c0new_48,82000.0,1.0,203074, 29052.3, 801.037, 235262, 0.747994,161,31.605228
_c0new_51,68000.0,2.0,680631, 107895, 45785.8, 840834, 0.14681,161,29.601468
_c0new_52,70000.0,2.0,685980, 62367.7, 43420.1, 797961, 0.694515,161,29.702651
_c0new_53,72000.0,2.0,711754, 30717.8, 26198.5, 779604, 0.817688,161,30.002567
_c0new_54,74000.0,2.0,698330, 9368.45, 37490.3, 753004, 0.922327,161,29.963744
_c0new_55,76000.0,2.0,674938, 465.094, 48972.5, 731585, 1.95266,161,29.836597
_c0new_56,78000.0,2.0,702267, 2534.51, 33114.7, 742909, 1.03089,161,30.207700
_c0new_57,80000.0,2.0,690054, 14641.7, 42566.8, 755489, 0.643815,161,30.183391
_c0new_58,82000.0,2.0,701818, 36609.2, 34047.8, 777502, 0.50611,161,30.440399
_change_ecc_spontcurv2_02,70000.0,-0.05,191.487, 41386.3, 593.025, 42306, 0.355311,75,28.814819
_change_ecc_spontcurv2_05,76000.0,-0.05,96.4809, 0.000137377, 0, 96.4838, 0.000266659,75,29.843372
_change_ecc_spontcurv2_06,78000.0,-0.05,191.058, 45.1832, 0, 236.358, 0.00798483,75,30.124768
_change_ecc_spontcurv2_12,70000.0,-0.06,307.207, 41391.4, 593.068, 42440, 0.544958,75,28.812244
_change_ecc_spontcurv2_13,72000.0,-0.06,309.055, 16682.1, 0, 17014.1, 0.12453,75,28.929893
_change_ecc_spontcurv2_14,74000.0,-0.06,298.504, 2015.57, 0, 2314.58, 0.0316483,75,29.066729
_change_ecc_spontcurv2_15,76000.0,-0.06,173.1, 2.84047e-05, 0, 173.108, 0.000343291,75,29.834911
_change_ecc_spontcurv2_16,78000.0,-0.06,291.93, 58.0386, 0, 350.229, 0.0200285,75,30.104085
_change_ecc_spontcurv2_18,82000.0,-0.06,428.68, 26222.4, 162.706, 27057.8, 0.329369,75,30.520215
_change_ecc_spontcurv2_41,68000.0,0.02,565.494, 74856, 1024.77, 76589.2, 0.398697,75,28.673326
_change_ecc_spontcurv2_42,70000.0,0.02,577.46, 41340.3, 592.62, 42627, 0.181728,75,28.811792
_change_ecc_spontcurv2_43,72000.0,0.02,590.19, 16636.1, 0, 17241.6, 0.188525,75,28.927396
_change_ecc_spontcurv2_44,74000.0,0.02,584.128, 1927.06, 0, 2511.39, 0.0354149,75,29.037600
_change_ecc_spontcurv2_45,76000.0,0.02,498.517, 0.0159006, 0, 498.556, 0.0014989,75,28.891578
_change_ecc_spontcurv2_46,78000.0,0.02,668.021, 75.5568, 0, 743.673, 0.0131726,75,30.078242
_change_ecc_spontcurv2_47,80000.0,0.02,786.668, 7150.39, 0, 7938.31, 0.102657,75,30.386430
_change_ecc_spontcurv2_48,82000.0,0.02,840.438, 26160.4, 0, 27230.1, 0.121148,75,30.492924
_change_ecc_spontcurv2_51,68000.0,0.03,789.3, 74845, 1024.65, 76801.2, 0.179996,75,28.671516
_change_ecc_spontcurv2_52,70000.0,0.03,803.025, 41332, 592.548, 42843.6, 0.164824,75,28.810017
_change_ecc_spontcurv2_53,72000.0,0.03,815.219, 16501.3, 0, 17328.1, 0.0944075,75,28.897961
_change_ecc_spontcurv2_54,74000.0,0.03,807.877, 1914.41, 0, 2722.79, 0.0498283,75,29.035259
_change_ecc_spontcurv2_55,76000.0,0.03,690.758, 0.0228613, 0, 690.81, 0.00220377,75,28.775862
_change_ecc_spontcurv2_56,78000.0,0.03,901.55, 83.6126, 0, 985.252, 0.00968021,75,30.069591
_change_ecc_spontcurv2_57,80000.0,0.03,1031.25, 7159.35, 0, 8191.87, 0.0514281,75,30.383740
_change_ecc_spontcurv2_58,82000.0,0.03,1088.34, 26171.1, 7.89706e-23, 27490.3, 0.192433,75,30.491287
_change_ecc_spontcurv_01,68000.0,-0.03,84.8453, 74898.3, 1838.63, 76970.6, 0.255895,75,28.678023
_change_ecc_spontcurv_02,70000.0,-0.03,88.5511, 41375.5, 592.93, 42186.5, 0.190878,75,28.815873
